Isosaponarin CD3OD	_Delazar_et_al
C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O)C4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O
594.522
Number	1H	13C
2	-	164.2		
3	6.52	103.6
4	-	182.8
5	-	161.5
6	-	109.8
7 	-	164.4
8	6.92	94.5
9 	-	157.1
10 	-	104.2
1' 	-	121.9
2'	8.06	129.3
3'	7.20	116.8
4'	-	162.1
5'	7.20	116.8
6'	8.06	129.3
1"	4.60	73.9	 
2"	-	71.5
3"	-	79.8	 
4"	-	71.1
5"	-	80.0
6"	-	62.3
1"'	5.05	102.0
2"'	-	74.1
3"'	-	77.1
4"'	-	70.5
5"'	-	77.0
6"'	-	62.1
OCH3	-	-
