Isovitexin CD3OD	_Girish_Kumar_Rao
C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O)C4C(C(C(C(O4)CO)O)O)O)O)O
432.381
Number	1H	13C
2	-	163.18	
3	6.48	102.21
4	-	182.34
5	-	157.02
6	-	107.49
7 	-	164.50
8	6.57	93.57
9 	-	161.06
10 	-	103.52
1' 	-	121.44
2'	7.82	127.73	
3'	6.91	115.34
4'	-	160.31
5'	6.91	115.34
6'	7.82	127.73	
1"	4.89	73.62		 
2"	4.16	70.94
3"	-	78.43			 
4"	-	70.08
5"	-	80.89
6a"	3.87	61.15
6b"	3.52	61.15
