Vitexin CD3OD	Girish_Kumar_Rao
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
432.381
Number	1H	13C
2	-	164.51
3	6.33	102.37
4	-	182.22
5	-	159.95
6	6.76	98.54
7 	-	162.75
8	-	104.03
9 	-	156.13
10 	-	103.76
1' 	-	121.79
2'	8.01	128.84	
3'	6.94	115.93
4'	-	160.25
5'	6.91	115.93
6'	7.91	128.84	
1"	5.18	73.19		 
2"	4.68	70.97
3"	-	77.90			 
4"	-	70.25
5"	4.58	80.77
6a"	3.74	60.97
6b"	3.87	60.97
