Isoquercitrin CD3OD	Kim_et_al
c1(cc(c2c(c1)oc(c(c2=O)OC1O[C@@H]([C@H]([C@@H](C1O)O)O)CO)c1ccc(c(c1)O)O)O)O	
464.376
Number	1H	13C
2	-	159.2
3	-	135.8
4	-	179.6
5 	-	163.2
6	6.20	100.1 
7 	-	166.3
8	6.39	94.9 
9 	-	158.6
10 	-	105.8
1' 	-	123.2
2'	7.70	117.7 
3' 	-	146.1
4'	-	150.0
5'	6.87	116.1 
6'	7.58	123.3 
1"	5.24	104.5 
2"	3.48	75.9 
3"	3.43	78.3 
4"	3.35	71.4 
5"	3.22	78.5 
6"	3.70	62.7 
	3.57	62.7
