Astragalin CD3OD	Kim_et_al
c1(cc(c2c(c1)oc(c(c2=O)OC1O[C@@H]([C@H]([C@@H](C1O)O)O)CO)c1ccc(cc1)O)O)O	
448.377
Number	1H	13C
2	-	159.3 
3	-	135.8 
4	-	179.8 
5	-	163.4 
6	6.17	100.8 
7	-	167.9 
8	6.36	95.5 
9	-	159.0 
10 		105.7
1'	-	123.2 
2'	8.05	132.7 
3'	6.88	116.5 
4'	-	162.0 
5'	6.88	116.5 
6'	8.05	132.7 
1"	5.22	104.7 
2"	3.44	76.1 
3"	3.41	78.5 
4"	3.31	71.8 
5"	3.19 	78.8 
6"	3.68	63.0 
	3.53	63.0
