Orientin CD3OD	Oliveira_Djalma_et_al
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O
448.38
Number	1H	13C
2	-	166.38
3	6.62	104.09
4	-	184.07
5	-	162.57
5OH	13.05 	-
6	6.32 	99.57
7 	-	164.39
8	-	105.95
9 	-	158.09
10 	-	105.65
1' 	-	124.17
2'	7.47	11.33
3'	-	147.24
4'	-	151.03
5'	6.96	117.03
6'	7.57	121.08
1"	4.94	75.39		 
2"	4.07	72.84
3"	3.66	80.49			 
4"	3.51	72.40
5"	3.51	83.21
6a"	3.83	63.33
6b"	3.97	63.33
