Isorientin CD3OD	Oliveira_Djalma_et_al
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O)C4C(C(C(C(O4)CO)O)O)O)O)O)O
448.38
Number	1H	13C
2	-	166.39
3	6.52	104.06
4	-	184.13
5	-	162.15
6	-	109.28
7 	-	164.97
8	6.47	95.35
9 	-	158.84
10 	-	105.36
1' 	-	123.69
2'	7.34	114.31
3'	-	147.16
4'	-	151.17
5'	6.89	116.94
6'	7.35	120.47	
1"	4.90	75.46		 
2"	4.16	72.77
3"	3.44	80.27			 
4"	3.49	71.95
5"	3.29	82.76
6a"	3.89	63.02
6b"	3.89	63.02	
