a-terpinene
C(C)(C)C1=CC=C(CC1)C
136.234
Number	1H	13C	1H_nh	1H_error	13C_error
1a	2.03	34.60	1	0.00	0.60
2a,2b,2c	1.04	21.07	3	0.00	0.47
3a,3b,3c	0.95	21.07	3	0.00	0.47
5a	5.87	116.63	1	0.02	0.13
6a	5.47	119.73	1	0.33	0.13
8b	2.02	28.97	1	0.07	0.47
8a	1.95	28.97	1	0.07	0.47
9a	1.94	25.17	1	0.01	0.37
9b	2.00	25.17	1	0.06	0.37
10a,10b,10c	1.71	22.67	3	0.00	0.47
4	-	141.77	-	-	0.87
7	-	132.50	-	-	1.00
