(S)Phenylethane-1,2-diol
OC[C@H](C1=CC=CC=C1)O
138.164
Number	1H	13C	1H_nh	1H_error	13C_error
1a	3.08	-	1	0.00	-
2b	3.73	68.03	1	0.04	0.07
2a	3.63	68.03	1	0.04	0.07
3a	4.79	74.73	1	0.03	0.07
6a	7.38	126.10	1	0.24	0.00
7a	7.34	128.45	1	0.13	0.10
8a	7.32	128.08	1	0.08	0.33
9a	7.34	128.45	1	0.13	0.10
10a	7.38	126.10	1	0.24	0.00
11a	3.08	-	1	0.00	-
5	-	140.55	-	-	0.07
