α-Pinene
CC1(C)C2CC1CC=C2C
136.234
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	0.98	26.52	3	0.20	0.28
3a,3b,3c	0.98	20.90	3	0.20	0.20
4a	1.93	47.17	1	0.00	0.18
5b	2.34	31.48	1	0.00	0.03
5a	1.16	31.48	1	0.01	0.03
6a	2.07	40.87	1	0.01	0.18
7b	2.22	31.29	1	0.02	0.21
7a	2.17	31.29	1	0.02	0.21
8a	4.96	116.18	1	0.03	0.32
10a,10b,10c	1.65	22.98	3	0.01	0.18
2	-	38.02	-	-	0.08
9	-	144.42	-	-	0.48
