trans-Anethole, t-anethole
C(=CC)/c1ccc(cc1)OC
148.202
Number	1H	13C	1H_nh	1H_error	13C_error
1a	6.30	130.60	1	0.07	0.27
2a	5.98	124.40	1	0.08	0.61
3a,3b,3c	1.77	17.53	3	0.07	0.79
5a	7.08	128.33	1	0.25	0.78
6a	6.78	113.93	1	0.14	0.14
8a	6.78	113.93	1	0.14	0.14
9a	7.08	128.33	1	0.25	0.78
11a,11b,11c	3.77	55.18	3	0.01	0.27
4	-	130.01	-	-	1.35
7	-	159.04	-	-	0.70
