limonene
C(=C)(C)C1CCC(=CC1)C
136.234
Number	1H	13C	1H_nh	1H_error	13C_error
2a,2b	4.82	108.70	2	0.20	1.00
3a,3b,3c	1.70	20.63	3	0.22	0.17
4a	2.09	41.13	1	0.73	0.13
5b	1.67	27.97	1	0.24	0.07
5a	1.43	27.97	1	0.25	0.07
6a	1.87	30.77	1	0.17	0.17
6b	1.95	30.77	1	0.15	0.17
8a	5.21	120.73	1	0.11	0.13
9a	1.98	30.63	1	0.24	0.07
9b	2.27	30.63	1	0.27	0.07
10a,10b,10c	1.64	23.65	3	0.01	0.25
1	-	149.65	-	-	0.35
7	-	133.20	-	-	0.20
