Hexan-3-ol
CCC(O)CCC
102.175
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	0.90	9.90	3	0.03	0.00
2a	1.45	30.20	1	0.03	0.14
2b	1.51	30.20	1	0.01	0.14
3a	3.32	72.45	1	0.03	0.21
4a	2.55	-	1	0.12	-
5a	1.36	39.40	1	0.02	0.00
5b	1.55	39.40	1	0.02	0.00
6a,6b	1.46	19.25	2	0.05	0.21
7a,7b,7c	0.91	14.00	3	0.01	0.00
