α-Terpinolene
C(C)(C)(O)C1CCC(=CC1)C
154.249
Number	1H	13C	1H_nh	1H_error	13C_error
2a,2b,2c	1.20	27.22	3	0.03	0.12
3a,3b,3c	1.23	26.20	3	0.03	0.50
4a	2.33	-	1	0.42	-
5a	1.52	44.92	1	0.11	0.32
6a	1.24	23.88	1	0.16	0.27
6b	1.76	23.88	1	0.32	0.27
7a	1.93	31.00	1	0.04	0.12
7b	2.06	31.00	1	0.05	0.12
9a	5.34	120.70	1	0.01	0.20
10b	2.00	26.67	1	0.03	0.77
10a	1.82	26.67	1	0.12	0.77
11a,11b,11c	1.61	23.23	3	0.01	0.13
1	-	72.26	-	-	0.44
8	-	133.35	-	-	0.55
