Linalool
C/C(C)=C/CCC(O)(C)C=C
154.249
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c,3a,3b,3c	1.66	20.56	6	0.22	3.53
4a	5.06	120.40	1	0.05	1.66
5a,5b	2.05	22.16	2	0.13	1.86
6a	1.52	41.11	1	0.21	3.36
6b	1.66	41.11	1	0.27	3.36
8a	3.00	-	1	0.19	-
9a,9b,9c	1.14	28.46	3	0.09	0.53
10a	5.80	144.64	1	0.62	0.25
11a,11b	5.11	111.56	2	0.22	0.40
2	-	131.40	-	-	6.79
3	-	20.56	-	-	3.53
7	-	74.24	-	-	0.18
