Scoparon; 6,7-dimethoxycoumarin; aesculetin dimethyl ether
COC1=C(OC)C=C(OC(C=C2)=O)C2=C1
206.195
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	3.88	56.09	3	0.12	0.14
6a,6b,6c	3.90	56.30	3	0.10	0.39
7a	6.87	100.55	1	0.25	5.53
11a	6.07	115.02	1	0.00	7.16
12a	7.32	142.04	1	0.00	29.70
15a	6.96	109.47	1	0.25	2.95
3	-	145.61	-	-	2.11
4	-	153.33	-	-	1.19
8	-	150.06	-	-	4.61
10	-	162.03	-	-	3.15
14	-	110.60	-	-	5.01
