Terpinen-4-ol
C(C)(C)C1(O)CCC(=CC1)C
154.249
Number	1H	13C	1H_nh	1H_error	13C_error
1a	1.79	36.90	1	0.07	0.00
2a,2b,2c	0.96	17.00	3	0.01	0.00
3a,3b,3c	0.94	16.90	3	0.01	0.00
5a	4.13	-	1	1.35	-
6a	1.67	31.10	1	0.04	0.00
6b	1.70	31.10	1	0.04	0.00
7a	1.92	27.30	1	0.09	0.20
7b	2.14	27.30	1	0.04	0.20
9a	5.37	118.60	1	0.03	0.10
10b	2.13	34.50	1	0.04	0.00
10a	1.83	34.50	1	0.13	0.00
11a,11b,11c	1.69	23.30	3	0.01	0.00
4	-	71.70	-	-	0.00
8	-	133.65	-	-	0.07
