β-Pinene
CC1(C)C2CC1CCC2=C
136.234
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	1.31	27.62	3	0.15	0.84
3a,3b,3c	0.97	23.90	3	0.11	1.54
4a	2.22	51.36	1	0.52	0.51
5a	1.51	28.77	1	0.33	4.13
5b	2.21	28.77	1	0.21	4.13
6a	1.95	42.42	1	0.08	0.78
7a	1.43	25.96	1	0.33	3.56
7b	1.67	25.96	1	0.16	3.56
8a	2.10	23.95	1	0.18	4.41
8b	2.24	23.95	1	0.22	4.41
10a,10b	4.58	106.40	2	0.20	0.51
2	-	39.61	-	-	0.21
9	-	153.23	-	-	0.11
