γ-Terpinene
C(C)(C)C1=CCC(=CC1)C
136.234
Number	1H	13C	1H_nh	1H_error	13C_error
1a	2.53	34.73	1	0.30	0.07
2a,2b,2c,3a,3b,3c	1.02	21.40	6	0.06	0.00
5a	5.46	116.30	1	0.16	0.00
6a	2.57	31.83	1	0.34	0.07
6b	2.57	31.83	1	0.34	0.07
8a	5.19	119.10	1	0.16	0.00
9a	2.56	27.70	1	0.34	0.00
9b	2.56	27.70	1	0.34	0.00
10a,10b,10c	1.66	23.00	3	0.02	0.00
3	-	21.40	-	-	0.00
4	-	140.67	-	-	0.07
7	-	131.20	-	-	0.00
