Harman-3-carboxylic acid
OC(C3=CC2=C(C(C)=N3)NC1=CC=CC=C12)=O
226.231
Number	1H	13C	1H_nh	1H_error	13C_error
1a	12.97	-	1	1.10	-
4a	8.77	115.40	1	0.02	0.00
8a,8b,8c	2.89	20.20	3	0.07	0.00
10a	12.12	-	1	0.37	-
12a	7.70	112.10	1	0.03	0.00
13a	7.60	128.30	1	0.12	0.00
14a	7.31	120.10	1	0.06	0.00
15a	8.28	122.10	1	0.06	0.00
2	-	166.70	-	-	0.00
3	-	136.10	-	-	0.00
5	-	127.00	-	-	0.00
6	-	136.40	-	-	0.00
7	-	141.70	-	-	0.00
11	-	140.80	-	-	0.00
16	-	121.30	-	-	0.00
