11β.13-dihydro-8α-hydroxy-goyazensanolide_CDCl3
C\1(=C\[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)O)[C@@H](C(=O)O2)C)/C	
		
Number	H1	C13
1		205.00
2	5.67	104.70
3		187.40
4		128.60
5α	5.98	133.70
5β		
6	4.70	80.90
7	2.82	55.80
8	3.76	65.60
9α	2.24	48.40
9β	2.08	
10		89.90
11	3.14	36.90
12		178.20
13a	1.31	15.90
13b		
14	1.48	20.50
15a	2.09	21.40
