11α.13-dihydro-13-methoxy-15-deoxygoyazensolide_CDCl3
C\1(=C\[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(=C)C)[C@H](C(=O)O2)C*)/C	
		
Number	H1	C13
1		204.50
2	5.73	104.70
3		186.80
4		128.80
5α	5.97	133.80
5β		
6	5.09	80.90
7	3.45	48.80
8	4.89	69.80
9α	2.39	43.30
9β	2.14	
10		89.00
11	2.55	44.30
12		174.90
13a	3.73	70.10
13b	3.56	
14	1.50	20.40
15a	2.10	21.20
15b		
OH		
1`		166.30
2`		135.20
3a`	6.08	127.00
3b`	5.62	
4`	1.90	18.10
4b'		
5`		
1``	3.39	59.20
