(4S,6R,7S,8S,10R,11lS,16R)-4,5-Dihydroeremantholide_C_3a_CDCL3
[C@@H]1(C[C@@H]2C3[C@H](C[C@@]4(C(=O)C=C1O4)C)O[C@]([C@]3(C(=O)O2)C)(O)C(=C)C)C		
 
Number	H1	C13
1		205.81
2	5.57	105.09
3		192.58
4	3.12	33.41
5α	1.86	43.98
5β	2.47	
6	4.27	81.54
7	2.53	66.40
8	3.99	76.90
9α	1.96	42.26
9β	2.44	
10		90.38
11		60.21
12		175.81
13a	1.20	22.59
13b		
14	1.43	21.04
15a	1.31	18.93
15b		
16		106.43
OH	2.75	
Oac		
1`		142.25
2`a	5.30	115.78
2`b	5.05	
3a`	1.90	18.46
