8α-(2`.3`dihydroxi-2`-methylbutanoyl)-15-deoxygoyazensolideo_CDCl3
C\1(=C\[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(O)(C(O)C)C)C(=C)C(=O)O2)/C	
		
Number	H1	C13
1		204.20
2	5.73	104.90
3		186.50
4		130.70
5α	5.99	134.70
5β		
6	5.21	81.40
7	3.82	50.70
8	4.51	74.70
9α	2.46	43.90
9β	2.29	
10		89.40
11		132.50
12		168.40
13a	6.32	125.00
13b	5.50	
14	1.53	20.70
15a	2.08	20.30
15b		
OH	3.21	
1`		174.00
2`		77.20
3a`	4.16	61.90
3b`		
4`	1.50	17.90
4b'		
5`	1.28	22.30
