(4R,5S,6S,7S,8S,10R,11S,16R)-4,5-Dihydroeremantholide_A_CDCl3
[C@H]1([C@@H]([C@@H]2[C@H]3[C@H](CC4(C(=O)C=C1O4)C)O[C@]([C@]3(C(=O)O2)C)(O)C(C)C)O)C		
 
Number	H1	C13
1		205.5
2	5.69	105.6
3		191.5
4	3.34	32.0
5α	4.31	75.4
5β		
6	4.17	80.3
7	2.53	64.8
8	3.92	75.7
9α	1.95	44.5
9β	2.31	
10		90.0
11		60.1
12		175.1
13a	1.35	21.6
13b		
14	1.44	20.9
15a	1.31	9.5
15b		
16		108.2
OH	2.28 e 2.90	
Oac		
1`	2.02	37.2
2`a	1.06	16.7
2`b		
3a`	0.95	16.5
