16α-(1',2'-Dihydroxy-1'-methylpropyl)-eremantholide_CDCl3
C\1(=C\[C@@H]2[C@H]3[C@H](C[C@@]4(C(=O)C=C1O4)C)O[C@]([C@]3(C(=O)O2)C)(O)C(C)(C(C)O)O)/C		
 
Number	H1	C13
1		205.6
2	5.59	104.4
3		186.9
4		130.9
5α	5.99	134.3
5β		
6	4.97	81.3
7	2.85	63.5
8	3.97	78.8
9α	1.94	43.1
9β	2.47	
10		90.2
11		60.1
12		174.8
13a	1.40	20.4
13b		
14	1.48	20.3
15a	1.87	20.2
15b		
16		105.9
OH	2.80 e 4.67	
Oac		
1`		62.6
2`a	3.02	63.9
2`b		
3a`	1.54	14.5
3b`		
4`	1.49	20.5
