Zexbrevin_CDCl3
[C@H]1(C[C@@H]2[C@@H]([C@@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(=C)C)C(=C)C(=O)O2)C	
		
Number	H1	C13
1		205.18
2	5.56	102.05
3		192.13
4	3.05	31.37
5α	2.06	40.96
5β	2.61	
6	4.48	74.41
7	3.30	51.61
8	5.17	74.41
9α	2.71	43.10
9β	2.25	
10		88.29
11		139.53
12		168.54
13a	6.36	123.05
13b	5.70	
14	1.42	22.74
15a	1.39	16.04
15b		
OH		
1`		166.12
2`		135.82
3a`	5.99	126.70
3b`	5.60	
4`	1.87	18.05
