Eremantholide A_CDCl3_ACETONAD6
C\1(=C\[C@@H]2C3[C@H](CC4(C(=O)C=C1O4)C)O[C@]([C@]3(C(=O)O2)C)(O)C(C)C)/C		
		
Number	H1	C13
1		205.52
2	5.59	104.72
3		187.42
4		130.63
5α	6.00	135.09
5β		
6	4.93	81.76
7	2.78	64.08
8	4.02	78.22
9α	2.29	44.20
9β	1.98	
10		90.20
11		61.06
12		175.61
13a	1.31	20.45
13b		
14	1.46	21.29
15a	2.03	20.23
15b		
16		
OH		
Oac		
1`		108.26
2`a	1.98	32.65
2`b		
3a`	1.05	17.13
3b`		
4`	0.94	16.83
