Goyazensolide_CDCl3	
C\1(=C\[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(=C)C)C(=C)C(=O)O2)/CO	

Number	H1	C13	
	204.70
5.83	106.70
	184.40
	134.50
6.28	135.30
	
5.34	81.60
3.80	50.90
4.54	73.30
2.51	43.90
2.32	
	89.80
	133.20
	168.80
6.21	124.70
5.48	
1.54	20.70
4.36	63.20
4.40	
	
	166.90
	135.40
6.02	126.60
5.56	
1.84	17.90
