Eremantholide_B_CDCl3
C\1(=C\[C@@H]2C3[C@H](CC4(C(=O)C=C1O4)C)O[C@]([C@]3(C(=O)O2)C)(O)C(CC)C)/C		
		
Number	H1	C13
1		205.52
2	5.59	104.35
3		186.83
4		129.97
5α	6.00	134.73
5β		
6	4.93	81.29
7	2.78	63.69
8	4.02	77.58
9α	2.29	43.93
9β	1.98	
10		89.96
11		60.38
12		174.23
13a	1.31	20.49
13b		
14	1.46	21.17
15a	2.03	20.29
15b		
16		
OH		
Oac		
1`		108.06
2`a		39.28
2`b		
3a`		22.73
3b`		
4`		12.41
5`		11.80
