Goyazensolide_acetate_CDCl3
C\1(=C\[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(=C)C)C(=C)C(=O)O2)/COC(=O)C	
		
Number	H1	C13
1		204.80
2	5.73	107.20
3		183.70
4		133.50
5α	6.25	138.90
5β		
6	5.26	81.60
7	3.71	51.20
8	4.46	73.60
9α	2.43	44.27
9β	2.25	
10		90.30
11		130.20
12		168.90
13a	6.16	125.10
13b	5.40	
14	1.47	21.00
15a	4.74	63.80
15b	4.71	
OH		
1`		166.80
2`		135.30
3a`	5.94	17.80
3b`	5.48	
4`	1.76	126.50
4b'		
5`		
1``		168.40
2``	2.04	21.20
