(4S.6R.7S.8S.10R)-1-0xo-3.10-epoxy-8-(2.3-dihydroxypropanoyloxy)-germacra-2.11(13)-dien-6.12-olide_CDCl3
[C@@H]1(C[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(CO)(O)C)C(=C)C(=O)O2)C 	
		
Number	H1	C13
1		205.50
2	5.70	106.37
3		192.43
4	3.29	33.00
5α	1.89	42.22
5β	2.46	
6	4.50	81.99
7	3.43	53.75
8	4.39	73.52
9α	2.43	45.21
9β	2.30	
10		89.59
11		133.15
12		168.77
13a	6.31	125.60
13b	5.49	
14	1.48	21.21
15a	1.32	18.16
15b		
OH		
1`		173.50
2`		74.30
3a`	3.62	50.88
3b`	3.50	
4`	1.34	22.82
