(4S.6R.7S.8S.10R)-1-Oxo-3.10-epoxy-8-methacryloxygermacra-2.11(13)-dien-6.12-olide _CDCl3
[C@@H]1(C[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(=C)C)C(=C)C(=O)O2)C	
		
Number	H1	C13
1		204.95
2	5.68	105.52
3		192.57
4	3.14	33.56
5α	1.94	42.35
5β	2.45	
6	4.52	82.14
7	3.37	54.36
8	4.39	71.93
9α	2.47	45.23
9β	2.32	
10		89.94
11		133.93
12		168.72
13a	6.21	124.07
13b	5.45	
14	1.50	21.07
15a	1.34	18.46
15b		
OH		
1`		166.74
2`		135.61
3a`	6.00	126.10
3b`	5.52	
4`	1.83	17.87
