15-deoxygoyazensolide_CDCl3
C\1(=C\[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(=C)C)C(=C)C(=O)O2)/C	
		
Number	H1	C13
1		204.80
2	5.71	104.70
3		186.80
4		130.40
5α	6.00	135.00
5β		
6	5.26	81.50
7	3.72	51.10
8	4.55	73.40
9α	2.48	43.80
9β	2.31	
10		89.60
11		133.50
12		168.80
13a	5.46	124.40
13b	6.22	
14	1.53	20.60
15a	2.08	20.30
15b		
OH		
1`		166.70
2`		135.50
3a`	6.01	126.40
3b`	5.54	
4`	1.83	18.00
