Isogoyazensolide_acetate_CDCl3
C1(=C)[C@H]([C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)C(=C)C)C(=C)C(=O)O2)OC(=O)C 	
		
Number	H1	C13
1		204.00
2	5.86	107.00
3		185.10
4		134.00
5α	5.93	75.00
5β		
6	4.97	83.80
7	4.17	46.20
8	4.31	72.10
9α	2.53	44.70
9β	2.35	
10		90.40
11		134.00
12		168.20
13a	6.23	124.00
13b	5.53	
14	1.53	21.10
15a	6.17	130.60
15b	6.07	
OH		
1`		166.90
2`		133.50
3a`	6.01	126.50
3b`	5.54	
4`	1.81	18.00
4b'		
5`		
1``	2.07	169.50
2``		21.40
