15-hydroxyeremantholide_B_CDCl3
C\1(=C\[C@@H]2C3[C@H](CC4(C(=O)C=C1O4)C)O[C@]([C@]3(C(=O)O2)C)(O)C(C)CC)/CO		
 	
Number	H1	C13
1		207.8
2	5.72	106.1
3		187.0
4		136.2
5α	6.32	135.2
5β		
6	5.01	83.0
7	2.86	64.9
8	4.03	78.6
9α	2.02	44.9
9β	2.31	
10		91.4
11		60.2
12		175.2
13a	1.31	20.7
13b		
14	1.47	21.5
15a	4.34	63.3
15b		
16		109.2
OH	3.39	
Oac		
1`	2.02	40.7
2`a	1.71	23.8
2`b	0.96	
3a`	0.95	12.1
3b`		
4`	1.04	12.7
