Centratherin
C/C=C(/C)\C(=O)O[C@H]1C[C@@]2(C(=O)C=C(O2)/C(=C\[C@@H]3[C@@H]1C(=C)C(=O)O3)/CO)C
C20H22O7
Number	H1	C13	
1	0.00	204.80
2	5.82	106.70
3	0.00	184.50
4	0.00	134.50
5α	6.28	135.30
5β	0.00	0.00
6	5.37	81.80
7	3.78	51.00
8	4.53	73.00
9α	2.50	44.20
9β	2.32	0.00
10	0.00	89.90
11	0.00	133.50
12	0.00	169.00
13a	5.46	124.60
13b	6.23	0.00
14	1.54	20.80
15a	4.38	63.20
15b	4.40	0.00
OH	2.35	0.00
1`	0.00	167.30
2`	0.00	126.40
3a`	6.09	140.90
3b`	0.00	0.00
4`	1.89	15.70
4b'	0.00	0.00
5`	1.78	20.00
